Product,URL,Num_Vulnerabilities
Adequate,/vulnerability-list/vendor_id-23/product_id-26535/Debian-Adequate.html,1,26535,23,Application
Advanced Package Tool,/vulnerability-list/vendor_id-23/product_id-52062/Debian-Advanced-Package-Tool.html,17,52062,23,Application
Amaya,/vulnerability-list/vendor_id-23/product_id-6792/Debian-Amaya.html,1,6792,23,Application
Apache,/vulnerability-list/vendor_id-23/product_id-9807/Debian-Apache.html,1,9807,23,Application
Apache2,/vulnerability-list/vendor_id-23/product_id-22264/Debian-Apache2.html,2,22264,23,Application
APT,/vulnerability-list/vendor_id-23/product_id-17236/Debian-APT.html,5,17236,23,Application
Apt-cacher,/vulnerability-list/vendor_id-23/product_id-5660/Debian-Apt-cacher.html,2,5660,23,Application
Apt-listchanges,/vulnerability-list/vendor_id-23/product_id-13023/Debian-Apt-listchanges.html,1,13023,23,Application
Apt-setup,/vulnerability-list/vendor_id-23/product_id-5570/Debian-Apt-setup.html,1,5570,23,Application
Aptlinex,/vulnerability-list/vendor_id-23/product_id-13866/Debian-Aptlinex.html,2,13866,23,Application
Axiom,/vulnerability-list/vendor_id-23/product_id-27004/Debian-Axiom.html,1,27004,23,Application
Backupninja,/vulnerability-list/vendor_id-23/product_id-5896/Debian-Backupninja.html,1,5896,23,Application
Base-config,/vulnerability-list/vendor_id-23/product_id-7550/Debian-Base-config.html,1,7550,23,Application
Bsdmainutils,/vulnerability-list/vendor_id-23/product_id-23813/Debian-Bsdmainutils.html,1,23813,23,Application
Bsmtpd,/vulnerability-list/vendor_id-23/product_id-4777/Debian-Bsmtpd.html,1,4777,23,Application
Cfingerd,/vulnerability-list/vendor_id-23/product_id-24752/Debian-Cfingerd.html,1,24752,23,Application
Cifs-utils,/vulnerability-list/vendor_id-23/product_id-22991/Debian-Cifs-utils.html,2,22991,23,Application
Citadel Server,/vulnerability-list/vendor_id-23/product_id-14877/Debian-Citadel-Server.html,1,14877,23,Application
Courier-authlib,/vulnerability-list/vendor_id-23/product_id-95109/Debian-Courier-authlib.html,1,95109,23,Application
Cron,/vulnerability-list/vendor_id-23/product_id-80226/Debian-Cron.html,1,80226,23,Application
Crossroads,/vulnerability-list/vendor_id-23/product_id-60894/Debian-Crossroads.html,1,60894,23,Application
Dbd-firebird,/vulnerability-list/vendor_id-23/product_id-31500/Debian-Dbd-firebird.html,1,31500,23,Application
Debian Linux,/vulnerability-list/vendor_id-23/product_id-36/Debian-Debian-Linux.html,5087,36,23,OS
Debian-goodies,/vulnerability-list/vendor_id-23/product_id-12063/Debian-Debian-goodies.html,1,12063,23,Application
Debian-lan-config,/vulnerability-list/vendor_id-23/product_id-77689/Debian-Debian-lan-config.html,1,77689,23,Application
Debmake,/vulnerability-list/vendor_id-23/product_id-4061/Debian-Debmake.html,1,4061,23,Application
Devotee,/vulnerability-list/vendor_id-23/product_id-22861/Debian-Devotee.html,1,22861,23,Application
Devscript,/vulnerability-list/vendor_id-23/product_id-48176/Debian-Devscript.html,0,48176,23,Application
Devscripts,/vulnerability-list/vendor_id-23/product_id-57972/Debian-Devscripts.html,2,57972,23,Application
Dpkg,/vulnerability-list/vendor_id-23/product_id-18928/Debian-Dpkg.html,11,18928,23,Application
Dpkg-cross,/vulnerability-list/vendor_id-23/product_id-15381/Debian-Dpkg-cross.html,1,15381,23,Application
Dpkg-dev,/vulnerability-list/vendor_id-23/product_id-27774/Debian-Dpkg-dev.html,2,27774,23,Application
Duplicity,/vulnerability-list/vendor_id-23/product_id-64317/Debian-Duplicity.html,1,64317,23,Application
Elvis Tiny,/vulnerability-list/vendor_id-23/product_id-1093/Debian-Elvis-Tiny.html,1,1093,23,Application
Exuberant Ctags,/vulnerability-list/vendor_id-23/product_id-29206/Debian-Exuberant-Ctags.html,1,29206,23,Application
Feta,/vulnerability-list/vendor_id-23/product_id-15077/Debian-Feta.html,1,15077,23,Application
Freedombox,/vulnerability-list/vendor_id-23/product_id-88350/Debian-Freedombox.html,1,88350,23,Application
FSP,/vulnerability-list/vendor_id-23/product_id-3405/Debian-FSP.html,2,3405,23,Application
Ftpsync,/vulnerability-list/vendor_id-23/product_id-41207/Debian-Ftpsync.html,1,41207,23,Application
Fuse,/vulnerability-list/vendor_id-23/product_id-33091/Debian-Fuse.html,0,33091,23,Application
Gfax,/vulnerability-list/vendor_id-23/product_id-11581/Debian-Gfax.html,1,11581,23,Application
Guilt,/vulnerability-list/vendor_id-23/product_id-12240/Debian-Guilt.html,1,12240,23,Application
Hivex,/vulnerability-list/vendor_id-23/product_id-30503/Debian-Hivex.html,1,30503,23,Application
Honeyd Common,/vulnerability-list/vendor_id-23/product_id-14876/Debian-Honeyd-Common.html,1,14876,23,Application
Horde,/vulnerability-list/vendor_id-23/product_id-14610/Debian-Horde.html,3,14610,23,Application
Horde Groupware,/vulnerability-list/vendor_id-23/product_id-17014/Debian-Horde-Groupware.html,2,17014,23,Application
